
Training on cuda | logs -> training_logs/run_seed41_config5_fresh_20260527_011204
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode   107 | Steps:    2986 | Reward:  -0.403 | Avg(100):  -0.118 | Entropy: 0.0985 | Acc: 16.7% (4+ 20-) | Lifetime: 20.1%
  [Step 3000] Action dist: A0:13% | A1:14% | A2:32% | A3:24% | A4:16%
Episode   108 | Steps:    3017 | Reward:   1.397 | Avg(100):  -0.099 | Entropy: 0.0985 | Acc: 24.1% (7+ 22-) | Lifetime: 20.1%
Episode   109 | Steps:    3049 | Reward:   0.497 | Avg(100):  -0.105 | Entropy: 0.0985 | Acc: 15.6% (5+ 27-) | Lifetime: 20.1%
Episode   110 | Steps:    3068 | Reward:   0.601 | Avg(100):  -0.092 | Entropy: 0.0985 | Acc: 31.6% (6+ 13-) | Lifetime: 20.1%
Episode   111 | Steps:    3094 | Reward:   1.798 | Avg(100):  -0.085 | Entropy: 0.0984 | Acc: 23.1% (6+ 20-) | Lifetime: 20.2%
Episode   112 | Steps:    3127 | Reward:  -0.303 | Avg(100):  -0.052 | Entropy: 0.0984 | Acc: 18.2% (6+ 27-) | Lifetime: 20.1%
Episode   113 | Steps:    3152 | Reward:   1.597 | Avg(100):  -0.045 | Entropy: 0.0984 | Acc: 20.0% (5+ 20-) | Lifetime: 20.1%
Episode   114 | Steps:    3189 | Reward:  -0.703 | Avg(100):  -0.041 | Entropy: 0.0984 | Acc: 17.1% (6+ 29-) | Lifetime: 20.1%
Episode   115 | Steps:    3218 | Reward:  -1.202 | Avg(100):  -0.064 | Entropy: 0.0984 | Acc: 17.2% (5+ 24-) | Lifetime: 20.1%
Episode   116 | Steps:    3223 | Reward:   0.899 | Avg(100):  -0.056 | Entropy: 0.0984 | Acc: 40.0% (2+ 3-) | Lifetime: 20.1%
Episode   117 | Steps:    3245 | Reward:   1.799 | Avg(100):  -0.019 | Entropy: 0.0984 | Acc: 33.3% (7+ 14-) | Lifetime: 20.2%
Episode   118 | Steps:    3276 | Reward:   2.098 | Avg(100):  -0.015 | Entropy: 0.0984 | Acc: 25.8% (8+ 23-) | Lifetime: 20.3%
Episode   119 | Steps:    3299 | Reward:   1.699 | Avg(100):   0.012 | Entropy: 0.0984 | Acc: 30.4% (7+ 16-) | Lifetime: 20.3%
Episode   120 | Steps:    3323 | Reward:   2.598 | Avg(100):   0.044 | Entropy: 0.0984 | Acc: 33.3% (8+ 16-) | Lifetime: 20.4%
Episode   121 | Steps:    3341 | Reward:   3.698 | Avg(100):   0.098 | Entropy: 0.0982 | Acc: 38.9% (7+ 11-) | Lifetime: 20.5%
Episode   122 | Steps:    3368 | Reward:   0.399 | Avg(100):   0.103 | Entropy: 0.0982 | Acc: 25.9% (7+ 20-) | Lifetime: 20.6%
Episode   123 | Steps:    3393 | Reward:   2.997 | Avg(100):   0.129 | Entropy: 0.0982 | Acc: 32.0% (8+ 17-) | Lifetime: 20.6%
Episode   124 | Steps:    3415 | Reward:   2.098 | Avg(100):   0.141 | Entropy: 0.0982 | Acc: 31.8% (7+ 15-) | Lifetime: 20.7%
