
Training on cuda | logs -> training_logs/run_seed41_config9_fresh_20260513_200943
Config: ..\..\configs\config9.yaml
Episodes: 0 -> ...
Steps: 0 -> 100000

Episode    81 | Steps:    2817 | Reward:  -1.203 | Avg(100):  -0.256 | Entropy: 0.0977 | Acc: 18.2% (6+ 27-) | Lifetime: 20.4%
Episode    82 | Steps:    2841 | Reward:   1.999 | Avg(100):  -0.229 | Entropy: 0.0977 | Acc: 29.2% (7+ 17-) | Lifetime: 20.5%
Episode    83 | Steps:    2882 | Reward:  -2.704 | Avg(100):  -0.258 | Entropy: 0.0977 | Acc: 12.2% (5+ 36-) | Lifetime: 20.4%
Episode    84 | Steps:    2920 | Reward:  -2.902 | Avg(100):  -0.289 | Entropy: 0.0977 | Acc: 15.8% (6+ 32-) | Lifetime: 20.3%
Episode    85 | Steps:    2946 | Reward:   3.697 | Avg(100):  -0.243 | Entropy: 0.0976 | Acc: 34.6% (9+ 17-) | Lifetime: 20.4%
Episode    86 | Steps:    2989 | Reward:  -0.904 | Avg(100):  -0.251 | Entropy: 0.0976 | Acc: 14.0% (6+ 37-) | Lifetime: 20.3%
  [Step 3000] Action dist: A0:17% | A1:13% | A2:30% | A3:19% | A4:20%
Episode    87 | Steps:    3014 | Reward:   5.498 | Avg(100):  -0.185 | Entropy: 0.0976 | Acc: 40.0% (10+ 15-) | Lifetime: 20.5%
Episode    88 | Steps:    3046 | Reward:   0.798 | Avg(100):  -0.174 | Entropy: 0.0976 | Acc: 21.9% (7+ 25-) | Lifetime: 20.5%
Episode    89 | Steps:    3065 | Reward:   5.699 | Avg(100):  -0.109 | Entropy: 0.0976 | Acc: 47.4% (9+ 10-) | Lifetime: 20.7%
Episode    90 | Steps:    3104 | Reward:  -0.804 | Avg(100):  -0.117 | Entropy: 0.0975 | Acc: 15.4% (6+ 33-) | Lifetime: 20.6%
Episode    91 | Steps:    3131 | Reward:   1.799 | Avg(100):  -0.096 | Entropy: 0.0975 | Acc: 33.3% (9+ 18-) | Lifetime: 20.7%
Episode    92 | Steps:    3165 | Reward:   1.798 | Avg(100):  -0.075 | Entropy: 0.0975 | Acc: 26.5% (9+ 25-) | Lifetime: 20.8%
Episode    93 | Steps:    3201 | Reward:   1.497 | Avg(100):  -0.059 | Entropy: 0.0974 | Acc: 19.4% (7+ 29-) | Lifetime: 20.8%
Episode    94 | Steps:    3239 | Reward:  -3.503 | Avg(100):  -0.095 | Entropy: 0.0974 | Acc: 10.5% (4+ 34-) | Lifetime: 20.6%
Episode    95 | Steps:    3276 | Reward:  -2.602 | Avg(100):  -0.121 | Entropy: 0.0974 | Acc: 16.2% (6+ 31-) | Lifetime: 20.6%
Episode    96 | Steps:    3306 | Reward:  -1.103 | Avg(100):  -0.131 | Entropy: 0.0974 | Acc: 20.0% (6+ 24-) | Lifetime: 20.6%
Episode    97 | Steps:    3338 | Reward:   0.397 | Avg(100):  -0.126 | Entropy: 0.0973 | Acc: 18.8% (6+ 26-) | Lifetime: 20.6%
Episode    98 | Steps:    3370 | Reward:   1.998 | Avg(100):  -0.104 | Entropy: 0.0973 | Acc: 25.0% (8+ 24-) | Lifetime: 20.6%
Episode    99 | Steps:    3405 | Reward:  -0.504 | Avg(100):  -0.108 | Entropy: 0.0973 | Acc: 17.1% (6+ 29-) | Lifetime: 20.6%
Episode   100 | Steps:    3435 | Reward:  -3.100 | Avg(100):  -0.140 | Entropy: 0.0973 | Acc: 20.0% (6+ 24-) | Lifetime: 20.6%
Episode   101 | Steps:    3465 | Reward:  -0.701 | Avg(100):  -0.148 | Entropy: 0.0972 | Acc: 23.3% (7+ 23-) | Lifetime: 20.6%
Episode   102 | Steps:    3490 | Reward:   2.098 | Avg(100):  -0.145 | Entropy: 0.0972 | Acc: 28.0% (7+ 18-) | Lifetime: 20.7%
  [Step 3500] Action dist: A0:15% | A1:15% | A2:39% | A3:18% | A4:13%
Episode   103 | Steps:    3523 | Reward:  -0.102 | Avg(100):  -0.136 | Entropy: 0.0972 | Acc: 21.2% (7+ 26-) | Lifetime: 20.7%
Episode   104 | Steps:    3550 | Reward:   0.397 | Avg(100):  -0.120 | Entropy: 0.0972 | Acc: 22.2% (6+ 21-) | Lifetime: 20.7%
Episode   105 | Steps:    3583 | Reward:  -3.101 | Avg(100):  -0.104 | Entropy: 0.0972 | Acc: 15.2% (5+ 28-) | Lifetime: 20.6%
Episode   106 | Steps:    3610 | Reward:   1.098 | Avg(100):  -0.089 | Entropy: 0.0971 | Acc: 25.9% (7+ 20-) | Lifetime: 20.7%
Episode   107 | Steps:    3638 | Reward:   2.098 | Avg(100):  -0.038 | Entropy: 0.0971 | Acc: 21.4% (6+ 22-) | Lifetime: 20.7%
