
Training on cuda | logs -> training_logs/run_seed43_config10 (3)_resumed_20260522_214033
Config: ..\..\configs\config10 (3).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    57 | Steps:    2040 | Reward:  -3.403 | Avg(100):  -0.928 | Entropy: 0.0990 | Acc: 7.7% (3+ 36-) | Lifetime: 19.6%
Episode    58 | Steps:    2078 | Reward:  -1.903 | Avg(100):  -0.944 | Entropy: 0.0989 | Acc: 15.8% (6+ 32-) | Lifetime: 19.5%
Episode    59 | Steps:    2104 | Reward:   3.399 | Avg(100):  -0.872 | Entropy: 0.0989 | Acc: 38.5% (10+ 16-) | Lifetime: 19.8%
Episode    60 | Steps:    2139 | Reward:  -0.702 | Avg(100):  -0.869 | Entropy: 0.0989 | Acc: 17.1% (6+ 29-) | Lifetime: 19.7%
Episode    61 | Steps:    2174 | Reward:  -1.202 | Avg(100):  -0.875 | Entropy: 0.0989 | Acc: 20.0% (7+ 28-) | Lifetime: 19.7%
Episode    62 | Steps:    2210 | Reward:  -0.604 | Avg(100):  -0.870 | Entropy: 0.0989 | Acc: 16.7% (6+ 30-) | Lifetime: 19.7%
Episode    63 | Steps:    2241 | Reward:   0.101 | Avg(100):  -0.855 | Entropy: 0.0989 | Acc: 29.0% (9+ 22-) | Lifetime: 19.8%
Episode    64 | Steps:    2277 | Reward:   1.097 | Avg(100):  -0.825 | Entropy: 0.0989 | Acc: 19.4% (7+ 29-) | Lifetime: 19.8%
Episode    65 | Steps:    2308 | Reward:   1.898 | Avg(100):  -0.784 | Entropy: 0.0988 | Acc: 22.6% (7+ 24-) | Lifetime: 19.8%
Episode    66 | Steps:    2338 | Reward:   0.297 | Avg(100):  -0.768 | Entropy: 0.0988 | Acc: 20.0% (6+ 24-) | Lifetime: 19.8%
Episode    67 | Steps:    2373 | Reward:  -1.802 | Avg(100):  -0.783 | Entropy: 0.0988 | Acc: 20.0% (7+ 28-) | Lifetime: 19.8%
Episode    68 | Steps:    2411 | Reward:  -1.803 | Avg(100):  -0.798 | Entropy: 0.0988 | Acc: 15.8% (6+ 32-) | Lifetime: 19.8%
Episode    69 | Steps:    2438 | Reward:   1.098 | Avg(100):  -0.771 | Entropy: 0.0988 | Acc: 25.9% (7+ 20-) | Lifetime: 19.8%
Episode    70 | Steps:    2470 | Reward:   0.500 | Avg(100):  -0.753 | Entropy: 0.0988 | Acc: 28.1% (9+ 23-) | Lifetime: 20.0%
Episode    71 | Steps:    2497 | Reward:   0.498 | Avg(100):  -0.735 | Entropy: 0.0988 | Acc: 25.9% (7+ 20-) | Lifetime: 20.0%
  [Step 2500] Action dist: A0:18% | A1:13% | A2:25% | A3:19% | A4:25%
Episode    72 | Steps:    2529 | Reward:  -0.502 | Avg(100):  -0.732 | Entropy: 0.0988 | Acc: 25.0% (8+ 24-) | Lifetime: 20.1%
Episode    73 | Steps:    2571 | Reward:   2.296 | Avg(100):  -0.691 | Entropy: 0.0986 | Acc: 23.8% (10+ 32-) | Lifetime: 20.1%
Episode    74 | Steps:    2583 | Reward:   1.199 | Avg(100):  -0.666 | Entropy: 0.0986 | Acc: 25.0% (3+ 9-) | Lifetime: 20.2%
Episode    75 | Steps:    2618 | Reward:   0.097 | Avg(100):  -0.656 | Entropy: 0.0986 | Acc: 22.9% (8+ 27-) | Lifetime: 20.2%
Episode    76 | Steps:    2659 | Reward:   0.196 | Avg(100):  -0.645 | Entropy: 0.0986 | Acc: 14.6% (6+ 35-) | Lifetime: 20.1%
Episode    77 | Steps:    2685 | Reward:   2.999 | Avg(100):  -0.598 | Entropy: 0.0986 | Acc: 30.8% (8+ 18-) | Lifetime: 20.2%
Episode    78 | Steps:    2721 | Reward:   0.496 | Avg(100):  -0.584 | Entropy: 0.0986 | Acc: 22.2% (8+ 28-) | Lifetime: 20.2%
Episode    79 | Steps:    2750 | Reward:  -0.402 | Avg(100):  -0.582 | Entropy: 0.0986 | Acc: 24.1% (7+ 22-) | Lifetime: 20.3%
Episode    80 | Steps:    2786 | Reward:  -1.803 | Avg(100):  -0.597 | Entropy: 0.0986 | Acc: 13.9% (5+ 31-) | Lifetime: 20.2%
Episode    81 | Steps:    2818 | Reward:  -1.901 | Avg(100):  -0.613 | Entropy: 0.0985 | Acc: 21.9% (7+ 25-) | Lifetime: 20.2%
Episode    82 | Steps:    2849 | Reward:   1.997 | Avg(100):  -0.582 | Entropy: 0.0985 | Acc: 22.6% (7+ 24-) | Lifetime: 20.2%
Episode    83 | Steps:    2884 | Reward:  -3.303 | Avg(100):  -0.614 | Entropy: 0.0985 | Acc: 11.4% (4+ 31-) | Lifetime: 20.1%
Episode    84 | Steps:    2902 | Reward:   1.202 | Avg(100):  -0.593 | Entropy: 0.0985 | Acc: 44.4% (8+ 10-) | Lifetime: 20.3%
Episode    85 | Steps:    2928 | Reward:   0.600 | Avg(100):  -0.579 | Entropy: 0.0985 | Acc: 34.6% (9+ 17-) | Lifetime: 20.4%
Episode    86 | Steps:    2964 | Reward:   2.596 | Avg(100):  -0.542 | Entropy: 0.0985 | Acc: 27.8% (10+ 26-) | Lifetime: 20.5%
