
Training on cuda | logs -> training_logs/run_seed42_config6 (2)_fresh_20260529_234131
Config: ..\..\configs\config6 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    59 | Steps:    1790 | Reward:  -0.501 | Avg(100):  -2.024 | Entropy: 0.2974 | Acc: 28.6% (8+ 20-) | Lifetime: 19.0%
Episode    60 | Steps:    1824 | Reward:  -3.102 | Avg(100):  -2.041 | Entropy: 0.2970 | Acc: 17.6% (6+ 28-) | Lifetime: 19.0%
Episode    61 | Steps:    1854 | Reward:   0.397 | Avg(100):  -2.002 | Entropy: 0.2970 | Acc: 23.3% (7+ 23-) | Lifetime: 19.1%
Episode    62 | Steps:    1876 | Reward:  -0.397 | Avg(100):  -1.976 | Entropy: 0.2970 | Acc: 42.9% (9+ 12-) | Lifetime: 19.3%
Episode    63 | Steps:    1905 | Reward:  -0.901 | Avg(100):  -1.960 | Entropy: 0.2970 | Acc: 24.1% (7+ 22-) | Lifetime: 19.4%
Episode    64 | Steps:    1936 | Reward:  -2.101 | Avg(100):  -1.962 | Entropy: 0.2970 | Acc: 25.8% (8+ 23-) | Lifetime: 19.5%
Episode    65 | Steps:    1959 | Reward:   0.599 | Avg(100):  -1.923 | Entropy: 0.2970 | Acc: 26.1% (6+ 17-) | Lifetime: 19.6%
Episode    66 | Steps:    1985 | Reward:   0.697 | Avg(100):  -1.884 | Entropy: 0.2970 | Acc: 26.9% (7+ 19-) | Lifetime: 19.7%
  [Step 2000] Action dist: A0:22% | A1:15% | A2:24% | A3:14% | A4:25%
Episode    67 | Steps:    2011 | Reward:   0.198 | Avg(100):  -1.853 | Entropy: 0.2970 | Acc: 26.9% (7+ 19-) | Lifetime: 19.8%
Episode    68 | Steps:    2044 | Reward:  -2.800 | Avg(100):  -1.867 | Entropy: 0.2970 | Acc: 27.3% (9+ 24-) | Lifetime: 19.9%
Episode    69 | Steps:    2080 | Reward:  -2.802 | Avg(100):  -1.880 | Entropy: 0.2966 | Acc: 19.4% (7+ 29-) | Lifetime: 19.9%
Episode    70 | Steps:    2105 | Reward:  -4.303 | Avg(100):  -1.915 | Entropy: 0.2966 | Acc: 4.0% (1+ 24-) | Lifetime: 19.7%
Episode    71 | Steps:    2126 | Reward:   1.199 | Avg(100):  -1.871 | Entropy: 0.2966 | Acc: 33.3% (7+ 14-) | Lifetime: 19.8%
Episode    72 | Steps:    2129 | Reward:   0.100 | Avg(100):  -1.844 | Entropy: 0.2966 | Acc: 33.3% (1+ 2-) | Lifetime: 19.8%
Episode    73 | Steps:    2156 | Reward:  -2.402 | Avg(100):  -1.852 | Entropy: 0.2966 | Acc: 18.5% (5+ 22-) | Lifetime: 19.8%
Episode    74 | Steps:    2188 | Reward:  -3.402 | Avg(100):  -1.872 | Entropy: 0.2966 | Acc: 15.6% (5+ 27-) | Lifetime: 19.8%
Episode    75 | Steps:    2198 | Reward:   0.599 | Avg(100):  -1.840 | Entropy: 0.2966 | Acc: 30.0% (3+ 7-) | Lifetime: 19.8%
