
Training on cuda | logs -> training_logs/run_seed41_config5_resumed_20260523_014050
Config: ..\..\configs\config5.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    63 | Steps:    2045 | Reward:   0.399 | Avg(100):   0.059 | Entropy: 0.0990 | Acc: 26.7% (8+ 22-) | Lifetime: 21.5%
Episode    64 | Steps:    2083 | Reward:  -2.903 | Avg(100):   0.013 | Entropy: 0.0989 | Acc: 15.8% (6+ 32-) | Lifetime: 21.4%
Episode    65 | Steps:    2124 | Reward:  -2.204 | Avg(100):  -0.020 | Entropy: 0.0989 | Acc: 14.6% (6+ 35-) | Lifetime: 21.3%
Episode    66 | Steps:    2155 | Reward:   0.398 | Avg(100):  -0.014 | Entropy: 0.0989 | Acc: 19.4% (6+ 25-) | Lifetime: 21.2%
Episode    67 | Steps:    2178 | Reward:   2.798 | Avg(100):   0.027 | Entropy: 0.0989 | Acc: 30.4% (7+ 16-) | Lifetime: 21.3%
Episode    68 | Steps:    2200 | Reward:   3.399 | Avg(100):   0.076 | Entropy: 0.0989 | Acc: 36.4% (8+ 14-) | Lifetime: 21.5%
Episode    69 | Steps:    2238 | Reward:  -1.202 | Avg(100):   0.058 | Entropy: 0.0989 | Acc: 18.4% (7+ 31-) | Lifetime: 21.4%
Episode    70 | Steps:    2267 | Reward:   1.999 | Avg(100):   0.085 | Entropy: 0.0989 | Acc: 31.0% (9+ 20-) | Lifetime: 21.6%
Episode    71 | Steps:    2295 | Reward:  -0.202 | Avg(100):   0.081 | Entropy: 0.0989 | Acc: 25.0% (7+ 21-) | Lifetime: 21.6%
Episode    72 | Steps:    2319 | Reward:   1.500 | Avg(100):   0.101 | Entropy: 0.0988 | Acc: 33.3% (8+ 16-) | Lifetime: 21.7%
Episode    73 | Steps:    2357 | Reward:  -2.003 | Avg(100):   0.072 | Entropy: 0.0988 | Acc: 15.8% (6+ 32-) | Lifetime: 21.6%
Episode    74 | Steps:    2394 | Reward:  -1.002 | Avg(100):   0.058 | Entropy: 0.0988 | Acc: 24.3% (9+ 28-) | Lifetime: 21.7%
Episode    75 | Steps:    2421 | Reward:   1.199 | Avg(100):   0.073 | Entropy: 0.0988 | Acc: 33.3% (9+ 18-) | Lifetime: 21.8%
Episode    76 | Steps:    2457 | Reward:   0.297 | Avg(100):   0.076 | Entropy: 0.0988 | Acc: 19.4% (7+ 29-) | Lifetime: 21.8%
Episode    77 | Steps:    2480 | Reward:   3.200 | Avg(100):   0.116 | Entropy: 0.0988 | Acc: 43.5% (10+ 13-) | Lifetime: 22.0%
  [Step 2500] Action dist: A0:20% | A1:15% | A2:26% | A3:23% | A4:17%
Episode    78 | Steps:    2514 | Reward:  -2.402 | Avg(100):   0.084 | Entropy: 0.0988 | Acc: 14.7% (5+ 29-) | Lifetime: 21.9%
Episode    79 | Steps:    2561 | Reward:  -1.903 | Avg(100):   0.059 | Entropy: 0.0986 | Acc: 17.0% (8+ 39-) | Lifetime: 21.8%
Episode    80 | Steps:    2591 | Reward:  -1.101 | Avg(100):   0.045 | Entropy: 0.0986 | Acc: 20.0% (6+ 24-) | Lifetime: 21.8%
Episode    81 | Steps:    2620 | Reward:   1.100 | Avg(100):   0.058 | Entropy: 0.0986 | Acc: 34.5% (10+ 19-) | Lifetime: 21.9%
Episode    82 | Steps:    2661 | Reward:  -2.804 | Avg(100):   0.023 | Entropy: 0.0986 | Acc: 14.6% (6+ 35-) | Lifetime: 21.8%
Episode    83 | Steps:    2701 | Reward:  -1.504 | Avg(100):   0.005 | Entropy: 0.0986 | Acc: 15.0% (6+ 34-) | Lifetime: 21.7%
Episode    84 | Steps:    2727 | Reward:   1.601 | Avg(100):   0.024 | Entropy: 0.0986 | Acc: 42.3% (11+ 15-) | Lifetime: 21.9%
Episode    85 | Steps:    2766 | Reward:   0.497 | Avg(100):   0.029 | Entropy: 0.0986 | Acc: 23.1% (9+ 30-) | Lifetime: 21.9%
Episode    86 | Steps:    2807 | Reward:   0.296 | Avg(100):   0.033 | Entropy: 0.0986 | Acc: 19.5% (8+ 33-) | Lifetime: 21.9%
Episode    87 | Steps:    2845 | Reward:  -1.303 | Avg(100):   0.017 | Entropy: 0.0985 | Acc: 15.8% (6+ 32-) | Lifetime: 21.8%
Episode    88 | Steps:    2884 | Reward:   0.697 | Avg(100):   0.025 | Entropy: 0.0985 | Acc: 23.1% (9+ 30-) | Lifetime: 21.8%
Episode    89 | Steps:    2908 | Reward:   4.099 | Avg(100):   0.070 | Entropy: 0.0985 | Acc: 33.3% (8+ 16-) | Lifetime: 21.9%
Episode    90 | Steps:    2933 | Reward:  -0.602 | Avg(100):   0.063 | Entropy: 0.0985 | Acc: 24.0% (6+ 19-) | Lifetime: 21.9%
Episode    91 | Steps:    2964 | Reward:   1.499 | Avg(100):   0.078 | Entropy: 0.0985 | Acc: 32.3% (10+ 21-) | Lifetime: 22.0%
Episode    92 | Steps:    2996 | Reward:   0.097 | Avg(100):   0.079 | Entropy: 0.0985 | Acc: 18.8% (6+ 26-) | Lifetime: 22.0%
  [Step 3000] Action dist: A0:18% | A1:15% | A2:27% | A3:23% | A4:16%
Episode    93 | Steps:    3020 | Reward:   3.200 | Avg(100):   0.112 | Entropy: 0.0985 | Acc: 41.7% (10+ 14-) | Lifetime: 22.1%
Episode    94 | Steps:    3053 | Reward:  -0.602 | Avg(100):   0.104 | Entropy: 0.0985 | Acc: 18.2% (6+ 27-) | Lifetime: 22.1%
Episode    95 | Steps:    3085 | Reward:   0.097 | Avg(100):   0.104 | Entropy: 0.0984 | Acc: 18.8% (6+ 26-) | Lifetime: 22.1%
Episode    96 | Steps:    3124 | Reward:  -3.602 | Avg(100):   0.066 | Entropy: 0.0984 | Acc: 12.8% (5+ 34-) | Lifetime: 22.0%
Episode    97 | Steps:    3146 | Reward:   3.499 | Avg(100):   0.101 | Entropy: 0.0984 | Acc: 40.9% (9+ 13-) | Lifetime: 22.1%
