
Training on cuda | logs -> training_logs/run_seed41_config10_fresh_20260529_202900
Config: ..\..\configs\config10.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    73 | Steps:    2261 | Reward:  -3.802 | Avg(100):  -2.040 | Entropy: 0.0989 | Acc: 17.1% (6+ 29-) | Lifetime: 19.2%
Episode    74 | Steps:    2300 | Reward:  -5.602 | Avg(100):  -2.087 | Entropy: 0.0989 | Acc: 10.8% (4+ 33-) | Lifetime: 19.0%
Episode    75 | Steps:    2304 | Reward:  -0.100 | Avg(100):  -2.061 | Entropy: 0.0988 | Acc: 25.0% (1+ 3-) | Lifetime: 19.0%
Episode    76 | Steps:    2332 | Reward:  -2.102 | Avg(100):  -2.062 | Entropy: 0.0988 | Acc: 17.9% (5+ 23-) | Lifetime: 19.0%
Episode    77 | Steps:    2358 | Reward:   1.397 | Avg(100):  -2.017 | Entropy: 0.0988 | Acc: 28.0% (7+ 18-) | Lifetime: 19.1%
Episode    78 | Steps:    2399 | Reward:  -4.004 | Avg(100):  -2.042 | Entropy: 0.0988 | Acc: 14.6% (6+ 35-) | Lifetime: 19.0%
Episode    79 | Steps:    2422 | Reward:  -0.699 | Avg(100):  -2.026 | Entropy: 0.0988 | Acc: 30.4% (7+ 16-) | Lifetime: 19.2%
Episode    80 | Steps:    2444 | Reward:   0.299 | Avg(100):  -1.997 | Entropy: 0.0988 | Acc: 27.3% (6+ 16-) | Lifetime: 19.2%
Episode    81 | Steps:    2468 | Reward:  -2.801 | Avg(100):  -2.007 | Entropy: 0.0988 | Acc: 20.8% (5+ 19-) | Lifetime: 19.2%
Episode    82 | Steps:    2480 | Reward:   3.702 | Avg(100):  -1.938 | Entropy: 0.0988 | Acc: 66.7% (8+ 4-) | Lifetime: 19.5%
  [Step 2500] Action dist: A0:20% | A1:16% | A2:18% | A3:21% | A4:24%
Episode    83 | Steps:    2510 | Reward:  -2.802 | Avg(100):  -1.948 | Entropy: 0.0988 | Acc: 20.0% (6+ 24-) | Lifetime: 19.5%
Episode    84 | Steps:    2536 | Reward:  -1.202 | Avg(100):  -1.939 | Entropy: 0.0988 | Acc: 19.2% (5+ 21-) | Lifetime: 19.5%
Episode    85 | Steps:    2569 | Reward:  -0.503 | Avg(100):  -1.923 | Entropy: 0.0986 | Acc: 24.2% (8+ 25-) | Lifetime: 19.5%
Episode    86 | Steps:    2600 | Reward:  -1.101 | Avg(100):  -1.913 | Entropy: 0.0986 | Acc: 23.3% (7+ 23-) | Lifetime: 19.6%
Episode    87 | Steps:    2640 | Reward:  -4.203 | Avg(100):  -1.939 | Entropy: 0.0986 | Acc: 10.0% (4+ 36-) | Lifetime: 19.4%
Episode    88 | Steps:    2669 | Reward:  -0.902 | Avg(100):  -1.928 | Entropy: 0.0986 | Acc: 24.1% (7+ 22-) | Lifetime: 19.5%
Episode    89 | Steps:    2689 | Reward:   0.699 | Avg(100):  -1.899 | Entropy: 0.0986 | Acc: 30.0% (6+ 14-) | Lifetime: 19.6%
Episode    90 | Steps:    2729 | Reward:  -3.304 | Avg(100):  -1.914 | Entropy: 0.0986 | Acc: 15.0% (6+ 34-) | Lifetime: 19.5%
Episode    91 | Steps:    2760 | Reward:  -3.703 | Avg(100):  -1.933 | Entropy: 0.0986 | Acc: 13.3% (4+ 26-) | Lifetime: 19.4%
Episode    92 | Steps:    2777 | Reward:  -0.401 | Avg(100):  -1.917 | Entropy: 0.0986 | Acc: 29.4% (5+ 12-) | Lifetime: 19.5%
Episode    93 | Steps:    2800 | Reward:   0.000 | Avg(100):  -1.897 | Entropy: 0.0986 | Acc: 34.8% (8+ 15-) | Lifetime: 19.6%
Episode    94 | Steps:    2821 | Reward:   2.698 | Avg(100):  -1.848 | Entropy: 0.0985 | Acc: 33.3% (7+ 14-) | Lifetime: 19.7%
Episode    95 | Steps:    2849 | Reward:  -1.401 | Avg(100):  -1.844 | Entropy: 0.0985 | Acc: 21.4% (6+ 22-) | Lifetime: 19.7%
Episode    96 | Steps:    2889 | Reward:  -3.604 | Avg(100):  -1.862 | Entropy: 0.0985 | Acc: 13.2% (5+ 33-) | Lifetime: 19.7%
Episode    97 | Steps:    2908 | Reward:   1.300 | Avg(100):  -1.829 | Entropy: 0.0985 | Acc: 42.1% (8+ 11-) | Lifetime: 19.8%
Episode    98 | Steps:    2934 | Reward:  -1.501 | Avg(100):  -1.826 | Entropy: 0.0985 | Acc: 23.1% (6+ 20-) | Lifetime: 19.8%
Episode    99 | Steps:    2962 | Reward:   0.700 | Avg(100):  -1.801 | Entropy: 0.0985 | Acc: 32.1% (9+ 19-) | Lifetime: 19.9%
Episode   100 | Steps:    2987 | Reward:  -2.799 | Avg(100):  -1.771 | Entropy: 0.0985 | Acc: 24.0% (6+ 19-) | Lifetime: 20.0%
  [Step 3000] Action dist: A0:19% | A1:14% | A2:24% | A3:22% | A4:21%
Episode   101 | Steps:    3007 | Reward:   2.098 | Avg(100):  -1.768 | Entropy: 0.0985 | Acc: 40.0% (8+ 12-) | Lifetime: 20.1%
Episode   102 | Steps:    3033 | Reward:   0.198 | Avg(100):  -1.713 | Entropy: 0.0985 | Acc: 26.9% (7+ 19-) | Lifetime: 20.2%
Episode   103 | Steps:    3070 | Reward:  -0.704 | Avg(100):  -1.720 | Entropy: 0.0985 | Acc: 16.2% (6+ 31-) | Lifetime: 20.1%
Episode   104 | Steps:    3089 | Reward:   1.599 | Avg(100):  -1.695 | Entropy: 0.0984 | Acc: 36.8% (7+ 12-) | Lifetime: 20.2%
Episode   105 | Steps:    3127 | Reward:  -3.203 | Avg(100):  -1.754 | Entropy: 0.0984 | Acc: 16.2% (6+ 31-) | Lifetime: 20.2%
Episode   106 | Steps:    3134 | Reward:  -1.401 | Avg(100):  -1.695 | Entropy: 0.0984 | Acc: 0.0% (0+ 7-) | Lifetime: 20.1%
Episode   107 | Steps:    3159 | Reward:   1.397 | Avg(100):  -1.652 | Entropy: 0.0984 | Acc: 28.0% (7+ 18-) | Lifetime: 20.2%
Episode   108 | Steps:    3185 | Reward:   2.099 | Avg(100):  -1.617 | Entropy: 0.0984 | Acc: 34.6% (9+ 17-) | Lifetime: 20.3%
Episode   109 | Steps:    3193 | Reward:  -0.901 | Avg(100):  -1.610 | Entropy: 0.0984 | Acc: 12.5% (1+ 7-) | Lifetime: 20.3%
Episode   110 | Steps:    3222 | Reward:  -1.602 | Avg(100):  -1.615 | Entropy: 0.0984 | Acc: 17.9% (5+ 23-) | Lifetime: 20.3%
Episode   111 | Steps:    3247 | Reward:   1.897 | Avg(100):  -1.589 | Entropy: 0.0984 | Acc: 28.0% (7+ 18-) | Lifetime: 20.3%
Episode   112 | Steps:    3275 | Reward:   0.699 | Avg(100):  -1.556 | Entropy: 0.0984 | Acc: 29.6% (8+ 19-) | Lifetime: 20.4%
Episode   113 | Steps:    3299 | Reward:   1.099 | Avg(100):  -1.498 | Entropy: 0.0984 | Acc: 29.2% (7+ 17-) | Lifetime: 20.5%
Episode   114 | Steps:    3327 | Reward:  -0.702 | Avg(100):  -1.475 | Entropy: 0.0984 | Acc: 25.0% (7+ 21-) | Lifetime: 20.5%
Episode   115 | Steps:    3351 | Reward:  -1.101 | Avg(100):  -1.460 | Entropy: 0.0982 | Acc: 25.0% (6+ 18-) | Lifetime: 20.5%
Episode   116 | Steps:    3385 | Reward:  -3.102 | Avg(100):  -1.434 | Entropy: 0.0982 | Acc: 17.6% (6+ 28-) | Lifetime: 20.5%
Episode   117 | Steps:    3407 | Reward:   1.198 | Avg(100):  -1.412 | Entropy: 0.0982 | Acc: 33.3% (7+ 14-) | Lifetime: 20.6%
Episode   118 | Steps:    3436 | Reward:  -0.901 | Avg(100):  -1.405 | Entropy: 0.0982 | Acc: 24.1% (7+ 22-) | Lifetime: 20.6%
Episode   119 | Steps:    3461 | Reward:  -2.001 | Avg(100):  -1.367 | Entropy: 0.0982 | Acc: 20.0% (5+ 20-) | Lifetime: 20.6%
Episode   120 | Steps:    3488 | Reward:  -3.302 | Avg(100):  -1.353 | Entropy: 0.0982 | Acc: 11.1% (3+ 24-) | Lifetime: 20.5%
  [Step 3500] Action dist: A0:14% | A1:15% | A2:34% | A3:21% | A4:16%
Episode   121 | Steps:    3513 | Reward:  -0.302 | Avg(100):  -1.309 | Entropy: 0.0982 | Acc: 24.0% (6+ 19-) | Lifetime: 20.6%
Episode   122 | Steps:    3516 | Reward:  -0.600 | Avg(100):  -1.274 | Entropy: 0.0982 | Acc: 0.0% (0+ 3-) | Lifetime: 20.6%
Episode   123 | Steps:    3535 | Reward:   2.398 | Avg(100):  -1.212 | Entropy: 0.0982 | Acc: 31.6% (6+ 13-) | Lifetime: 20.6%
Episode   124 | Steps:    3563 | Reward:   0.797 | Avg(100):  -1.146 | Entropy: 0.0982 | Acc: 25.0% (7+ 21-) | Lifetime: 20.7%
Episode   125 | Steps:    3567 | Reward:   0.100 | Avg(100):  -1.151 | Entropy: 0.0982 | Acc: 33.3% (1+ 2-) | Lifetime: 20.7%
Episode   126 | Steps:    3587 | Reward:   1.198 | Avg(100):  -1.090 | Entropy: 0.0981 | Acc: 30.0% (6+ 14-) | Lifetime: 20.7%
Episode   127 | Steps:    3614 | Reward:  -0.001 | Avg(100):  -1.087 | Entropy: 0.0981 | Acc: 25.9% (7+ 20-) | Lifetime: 20.8%
Episode   128 | Steps:    3636 | Reward:  -0.401 | Avg(100):  -1.078 | Entropy: 0.0981 | Acc: 22.7% (5+ 17-) | Lifetime: 20.8%
Episode   129 | Steps:    3660 | Reward:   2.098 | Avg(100):  -1.003 | Entropy: 0.0981 | Acc: 29.2% (7+ 17-) | Lifetime: 20.8%
Episode   130 | Steps:    3689 | Reward:  -3.502 | Avg(100):  -1.036 | Entropy: 0.0981 | Acc: 13.8% (4+ 25-) | Lifetime: 20.8%
Episode   131 | Steps:    3715 | Reward:   1.197 | Avg(100):  -1.011 | Entropy: 0.0981 | Acc: 24.0% (6+ 19-) | Lifetime: 20.8%
Episode   132 | Steps:    3740 | Reward:   0.198 | Avg(100):  -1.007 | Entropy: 0.0981 | Acc: 24.0% (6+ 19-) | Lifetime: 20.8%
Episode   133 | Steps:    3765 | Reward:  -1.302 | Avg(100):  -0.986 | Entropy: 0.0981 | Acc: 24.0% (6+ 19-) | Lifetime: 20.8%
Episode   134 | Steps:    3786 | Reward:   2.399 | Avg(100):  -0.957 | Entropy: 0.0981 | Acc: 35.0% (7+ 13-) | Lifetime: 20.9%
Episode   135 | Steps:    3814 | Reward:  -1.603 | Avg(100):  -0.974 | Entropy: 0.0981 | Acc: 14.8% (4+ 23-) | Lifetime: 20.9%
Episode   136 | Steps:    3838 | Reward:   1.598 | Avg(100):  -0.923 | Entropy: 0.0981 | Acc: 29.2% (7+ 17-) | Lifetime: 20.9%
Episode   137 | Steps:    3858 | Reward:   0.498 | Avg(100):  -0.908 | Entropy: 0.0980 | Acc: 25.0% (5+ 15-) | Lifetime: 20.9%
Episode   138 | Steps:    3870 | Reward:  -0.501 | Avg(100):  -0.885 | Entropy: 0.0980 | Acc: 16.7% (2+ 10-) | Lifetime: 20.9%
Episode   139 | Steps:    3887 | Reward:   1.201 | Avg(100):  -0.865 | Entropy: 0.0980 | Acc: 47.1% (8+ 9-) | Lifetime: 21.0%
Episode   140 | Steps:    3914 | Reward:  -0.001 | Avg(100):  -0.856 | Entropy: 0.0980 | Acc: 25.9% (7+ 20-) | Lifetime: 21.1%
Episode   141 | Steps:    3946 | Reward:  -0.003 | Avg(100):  -0.851 | Entropy: 0.0980 | Acc: 21.9% (7+ 25-) | Lifetime: 21.1%
Episode   142 | Steps:    3976 | Reward:  -3.203 | Avg(100):  -0.827 | Entropy: 0.0980 | Acc: 13.3% (4+ 26-) | Lifetime: 21.0%
  [Step 4000] Action dist: A0:10% | A1:11% | A2:41% | A3:18% | A4:19%
Episode   143 | Steps:    4004 | Reward:  -0.203 | Avg(100):  -0.850 | Entropy: 0.0980 | Acc: 22.2% (6+ 21-) | Lifetime: 21.0%
Episode   144 | Steps:    4032 | Reward:  -1.901 | Avg(100):  -0.849 | Entropy: 0.0980 | Acc: 21.4% (6+ 22-) | Lifetime: 21.0%
Episode   145 | Steps:    4058 | Reward:   2.097 | Avg(100):  -0.837 | Entropy: 0.0980 | Acc: 32.0% (8+ 17-) | Lifetime: 21.1%
Episode   146 | Steps:    4075 | Reward:   4.698 | Avg(100):  -0.777 | Entropy: 0.0980 | Acc: 47.1% (8+ 9-) | Lifetime: 21.2%
Episode   147 | Steps:    4109 | Reward:  -2.603 | Avg(100):  -0.751 | Entropy: 0.0978 | Acc: 17.6% (6+ 28-) | Lifetime: 21.2%
Episode   148 | Steps:    4132 | Reward:  -0.700 | Avg(100):  -0.731 | Entropy: 0.0978 | Acc: 30.4% (7+ 16-) | Lifetime: 21.2%
Episode   149 | Steps:    4135 | Reward:  -0.600 | Avg(100):  -0.748 | Entropy: 0.0978 | Acc: 0.0% (0+ 3-) | Lifetime: 21.2%
Episode   150 | Steps:    4158 | Reward:  -0.102 | Avg(100):  -0.719 | Entropy: 0.0978 | Acc: 21.7% (5+ 18-) | Lifetime: 21.2%
Episode   151 | Steps:    4184 | Reward:  -0.002 | Avg(100):  -0.728 | Entropy: 0.0978 | Acc: 23.1% (6+ 20-) | Lifetime: 21.2%
Episode   152 | Steps:    4204 | Reward:   3.398 | Avg(100):  -0.694 | Entropy: 0.0978 | Acc: 35.0% (7+ 13-) | Lifetime: 21.3%
Episode   153 | Steps:    4214 | Reward:   1.799 | Avg(100):  -0.695 | Entropy: 0.0978 | Acc: 40.0% (4+ 6-) | Lifetime: 21.3%
Episode   154 | Steps:    4236 | Reward:   3.898 | Avg(100):  -0.664 | Entropy: 0.0978 | Acc: 40.9% (9+ 13-) | Lifetime: 21.4%
Episode   155 | Steps:    4264 | Reward:  -1.401 | Avg(100):  -0.677 | Entropy: 0.0978 | Acc: 18.5% (5+ 22-) | Lifetime: 21.4%
Episode   156 | Steps:    4269 | Reward:  -1.001 | Avg(100):  -0.687 | Entropy: 0.0978 | Acc: 0.0% (0+ 5-) | Lifetime: 21.4%
Episode   157 | Steps:    4294 | Reward:   0.197 | Avg(100):  -0.694 | Entropy: 0.0978 | Acc: 24.0% (6+ 19-) | Lifetime: 21.4%
Episode   158 | Steps:    4318 | Reward:  -0.302 | Avg(100):  -0.693 | Entropy: 0.0978 | Acc: 20.8% (5+ 19-) | Lifetime: 21.4%
Episode   159 | Steps:    4339 | Reward:  -0.701 | Avg(100):  -0.654 | Entropy: 0.0978 | Acc: 23.8% (5+ 16-) | Lifetime: 21.4%
Episode   160 | Steps:    4365 | Reward:   0.899 | Avg(100):  -0.651 | Entropy: 0.0977 | Acc: 30.8% (8+ 18-) | Lifetime: 21.5%
Episode   161 | Steps:    4392 | Reward:  -0.903 | Avg(100):  -0.628 | Entropy: 0.0977 | Acc: 18.5% (5+ 22-) | Lifetime: 21.5%
Episode   162 | Steps:    4421 | Reward:  -2.602 | Avg(100):  -0.643 | Entropy: 0.0977 | Acc: 17.9% (5+ 23-) | Lifetime: 21.4%
Episode   163 | Steps:    4441 | Reward:  -0.002 | Avg(100):  -0.636 | Entropy: 0.0977 | Acc: 21.1% (4+ 15-) | Lifetime: 21.4%
