
Training on cuda | logs -> training_logs/run_seed42_config9 (2)_fresh_20260527_040912
Config: ..\..\configs\config9 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    81 | Steps:    2287 | Reward:  -0.699 | Avg(100):  -0.464 | Entropy: 0.0988 | Acc: 23.1% (3+ 10-) | Lifetime: 18.7%
Episode    82 | Steps:    2316 | Reward:  -0.302 | Avg(100):  -0.462 | Entropy: 0.0988 | Acc: 20.7% (6+ 23-) | Lifetime: 18.7%
Episode    83 | Steps:    2346 | Reward:   0.498 | Avg(100):  -0.451 | Entropy: 0.0988 | Acc: 23.3% (7+ 23-) | Lifetime: 18.8%
Episode    84 | Steps:    2372 | Reward:   2.098 | Avg(100):  -0.421 | Entropy: 0.0988 | Acc: 30.8% (8+ 18-) | Lifetime: 18.9%
Episode    85 | Steps:    2406 | Reward:   0.397 | Avg(100):  -0.411 | Entropy: 0.0988 | Acc: 17.6% (6+ 28-) | Lifetime: 18.9%
Episode    86 | Steps:    2441 | Reward:  -1.004 | Avg(100):  -0.418 | Entropy: 0.0987 | Acc: 11.4% (4+ 31-) | Lifetime: 18.8%
Episode    87 | Steps:    2463 | Reward:   3.498 | Avg(100):  -0.374 | Entropy: 0.0987 | Acc: 36.4% (8+ 14-) | Lifetime: 18.9%
Episode    88 | Steps:    2485 | Reward:  -0.900 | Avg(100):  -0.380 | Entropy: 0.0987 | Acc: 27.3% (6+ 16-) | Lifetime: 19.0%
  [Step 2500] Action dist: A0:11% | A1:21% | A2:34% | A3:15% | A4:18%
Episode    89 | Steps:    2508 | Reward:   2.898 | Avg(100):  -0.343 | Entropy: 0.0987 | Acc: 30.4% (7+ 16-) | Lifetime: 19.1%
Episode    90 | Steps:    2532 | Reward:   2.798 | Avg(100):  -0.309 | Entropy: 0.0987 | Acc: 29.2% (7+ 17-) | Lifetime: 19.2%
Episode    91 | Steps:    2553 | Reward:   3.499 | Avg(100):  -0.267 | Entropy: 0.0987 | Acc: 38.1% (8+ 13-) | Lifetime: 19.4%
Episode    92 | Steps:    2576 | Reward:   1.400 | Avg(100):  -0.249 | Entropy: 0.0986 | Acc: 30.4% (7+ 16-) | Lifetime: 19.5%
Episode    93 | Steps:    2611 | Reward:  -0.904 | Avg(100):  -0.256 | Entropy: 0.0986 | Acc: 14.3% (5+ 30-) | Lifetime: 19.4%
Episode    94 | Steps:    2649 | Reward:  -3.103 | Avg(100):  -0.286 | Entropy: 0.0986 | Acc: 7.9% (3+ 35-) | Lifetime: 19.2%
Episode    95 | Steps:    2657 | Reward:  -0.701 | Avg(100):  -0.291 | Entropy: 0.0986 | Acc: 12.5% (1+ 7-) | Lifetime: 19.2%
Episode    96 | Steps:    2686 | Reward:   0.097 | Avg(100):  -0.287 | Entropy: 0.0986 | Acc: 13.8% (4+ 25-) | Lifetime: 19.2%
Episode    97 | Steps:    2720 | Reward:   0.497 | Avg(100):  -0.279 | Entropy: 0.0986 | Acc: 15.2% (5+ 28-) | Lifetime: 19.1%
Episode    98 | Steps:    2748 | Reward:   0.898 | Avg(100):  -0.267 | Entropy: 0.0986 | Acc: 21.4% (6+ 22-) | Lifetime: 19.1%
