
Training on cuda | logs -> training_logs/run_seed41_config3_resumed_20260523_013141
Config: ..\..\configs\config3.yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

No accuracy CSV at training_logs/run_seed41_config3_fresh_20260522_170933/accuracy_final.csv — starting fresh.
Episode    82 | Steps:    2688 | Reward:   0.598 | Avg(100):   0.571 | Entropy: 0.0986 | Acc: 25.0% (7+ 21-) | Lifetime: 22.6%
Episode    83 | Steps:    2719 | Reward:  -1.202 | Avg(100):   0.550 | Entropy: 0.0986 | Acc: 16.1% (5+ 26-) | Lifetime: 22.6%
Episode    84 | Steps:    2744 | Reward:   2.098 | Avg(100):   0.569 | Entropy: 0.0986 | Acc: 32.0% (8+ 17-) | Lifetime: 22.7%
Episode    85 | Steps:    2772 | Reward:   3.898 | Avg(100):   0.607 | Entropy: 0.0986 | Acc: 35.7% (10+ 18-) | Lifetime: 22.8%
Episode    86 | Steps:    2800 | Reward:   0.897 | Avg(100):   0.611 | Entropy: 0.0986 | Acc: 21.4% (6+ 22-) | Lifetime: 22.8%
Episode    87 | Steps:    2828 | Reward:   1.897 | Avg(100):   0.625 | Entropy: 0.0985 | Acc: 21.4% (6+ 22-) | Lifetime: 22.8%
Episode    88 | Steps:    2854 | Reward:   2.897 | Avg(100):   0.651 | Entropy: 0.0985 | Acc: 34.6% (9+ 17-) | Lifetime: 22.9%
Episode    89 | Steps:    2884 | Reward:  -0.003 | Avg(100):   0.643 | Entropy: 0.0985 | Acc: 20.0% (6+ 24-) | Lifetime: 22.8%
Episode    90 | Steps:    2907 | Reward:   2.898 | Avg(100):   0.668 | Entropy: 0.0985 | Acc: 30.4% (7+ 16-) | Lifetime: 22.9%
Episode    91 | Steps:    2934 | Reward:   2.398 | Avg(100):   0.687 | Entropy: 0.0985 | Acc: 33.3% (9+ 18-) | Lifetime: 23.0%
Episode    92 | Steps:    2957 | Reward:   3.898 | Avg(100):   0.722 | Entropy: 0.0985 | Acc: 34.8% (8+ 15-) | Lifetime: 23.1%
Episode    93 | Steps:    2984 | Reward:   1.998 | Avg(100):   0.735 | Entropy: 0.0985 | Acc: 25.9% (7+ 20-) | Lifetime: 23.1%
  [Step 3000] Action dist: A0:9% | A1:10% | A2:37% | A3:31% | A4:13%
Episode    94 | Steps:    3012 | Reward:  -0.903 | Avg(100):   0.718 | Entropy: 0.0985 | Acc: 17.9% (5+ 23-) | Lifetime: 23.1%
Episode    95 | Steps:    3040 | Reward:   1.598 | Avg(100):   0.727 | Entropy: 0.0985 | Acc: 28.6% (8+ 20-) | Lifetime: 23.1%
Episode    96 | Steps:    3069 | Reward:   0.397 | Avg(100):   0.724 | Entropy: 0.0985 | Acc: 20.7% (6+ 23-) | Lifetime: 23.1%
Episode    97 | Steps:    3093 | Reward:   4.598 | Avg(100):   0.763 | Entropy: 0.0984 | Acc: 37.5% (9+ 15-) | Lifetime: 23.2%
Episode    98 | Steps:    3120 | Reward:   1.399 | Avg(100):   0.770 | Entropy: 0.0984 | Acc: 29.6% (8+ 19-) | Lifetime: 23.3%
Episode    99 | Steps:    3154 | Reward:  -1.602 | Avg(100):   0.746 | Entropy: 0.0984 | Acc: 14.7% (5+ 29-) | Lifetime: 23.2%
Episode   100 | Steps:    3180 | Reward:   3.399 | Avg(100):   0.779 | Entropy: 0.0984 | Acc: 38.5% (10+ 16-) | Lifetime: 23.3%
Episode   101 | Steps:    3206 | Reward:   1.199 | Avg(100):   0.790 | Entropy: 0.0984 | Acc: 23.1% (6+ 20-) | Lifetime: 23.3%
Episode   102 | Steps:    3238 | Reward:  -0.403 | Avg(100):   0.768 | Entropy: 0.0984 | Acc: 18.8% (6+ 26-) | Lifetime: 23.2%
Episode   103 | Steps:    3271 | Reward:   0.597 | Avg(100):   0.783 | Entropy: 0.0984 | Acc: 18.2% (6+ 27-) | Lifetime: 23.2%
Episode   104 | Steps:    3297 | Reward:   2.098 | Avg(100):   0.806 | Entropy: 0.0984 | Acc: 26.9% (7+ 19-) | Lifetime: 23.2%
Episode   105 | Steps:    3332 | Reward:  -2.004 | Avg(100):   0.846 | Entropy: 0.0982 | Acc: 14.3% (5+ 30-) | Lifetime: 23.1%
Episode   106 | Steps:    3352 | Reward:   4.198 | Avg(100):   0.885 | Entropy: 0.0982 | Acc: 40.0% (8+ 12-) | Lifetime: 23.2%
Episode   107 | Steps:    3388 | Reward:  -0.703 | Avg(100):   0.860 | Entropy: 0.0982 | Acc: 16.7% (6+ 30-) | Lifetime: 23.2%
Episode   108 | Steps:    3414 | Reward:   3.098 | Avg(100):   0.922 | Entropy: 0.0982 | Acc: 30.8% (8+ 18-) | Lifetime: 23.2%
Episode   109 | Steps:    3447 | Reward:  -0.003 | Avg(100):   0.938 | Entropy: 0.0982 | Acc: 18.2% (6+ 27-) | Lifetime: 23.2%
