
Training on cuda | logs -> training_logs/run_seed42_config4 (2)_fresh_20260529_231709
Config: ..\..\configs\config4 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    48 | Steps:    1381 | Reward:   4.298 | Avg(100):  -1.106 | Entropy: 0.0993 | Acc: 42.1% (8+ 11-) | Lifetime: 21.4%
Episode    49 | Steps:    1407 | Reward:  -0.703 | Avg(100):  -1.098 | Entropy: 0.0993 | Acc: 19.2% (5+ 21-) | Lifetime: 21.4%
Episode    50 | Steps:    1430 | Reward:   0.099 | Avg(100):  -1.074 | Entropy: 0.0993 | Acc: 26.1% (6+ 17-) | Lifetime: 21.4%
Episode    51 | Steps:    1449 | Reward:   2.001 | Avg(100):  -1.015 | Entropy: 0.0993 | Acc: 47.4% (9+ 10-) | Lifetime: 21.8%
Episode    52 | Steps:    1467 | Reward:   3.999 | Avg(100):  -0.921 | Entropy: 0.0993 | Acc: 44.4% (8+ 10-) | Lifetime: 22.1%
Episode    53 | Steps:    1486 | Reward:   2.599 | Avg(100):  -0.855 | Entropy: 0.0993 | Acc: 36.8% (7+ 12-) | Lifetime: 22.3%
  [Step 1500] Action dist: A0:16% | A1:13% | A2:42% | A3:14% | A4:16%
Episode    54 | Steps:    1516 | Reward:  -3.702 | Avg(100):  -0.907 | Entropy: 0.0993 | Acc: 13.3% (4+ 26-) | Lifetime: 22.1%
Episode    55 | Steps:    1536 | Reward:   0.900 | Avg(100):  -0.875 | Entropy: 0.0992 | Acc: 35.0% (7+ 13-) | Lifetime: 22.2%
Episode    56 | Steps:    1559 | Reward:  -1.101 | Avg(100):  -0.879 | Entropy: 0.0992 | Acc: 21.7% (5+ 18-) | Lifetime: 22.2%
Episode    57 | Steps:    1584 | Reward:  -0.400 | Avg(100):  -0.871 | Entropy: 0.0992 | Acc: 32.0% (8+ 17-) | Lifetime: 22.4%
Episode    58 | Steps:    1603 | Reward:   0.199 | Avg(100):  -0.853 | Entropy: 0.0992 | Acc: 26.3% (5+ 14-) | Lifetime: 22.4%
Episode    59 | Steps:    1633 | Reward:   0.597 | Avg(100):  -0.828 | Entropy: 0.0992 | Acc: 24.1% (7+ 22-) | Lifetime: 22.5%
Episode    60 | Steps:    1664 | Reward:  -3.203 | Avg(100):  -0.867 | Entropy: 0.0992 | Acc: 13.3% (4+ 26-) | Lifetime: 22.3%
Episode    61 | Steps:    1698 | Reward:  -2.602 | Avg(100):  -0.895 | Entropy: 0.0992 | Acc: 17.6% (6+ 28-) | Lifetime: 22.2%
Episode    62 | Steps:    1717 | Reward:  -0.301 | Avg(100):  -0.886 | Entropy: 0.0992 | Acc: 26.3% (5+ 14-) | Lifetime: 22.3%
Episode    63 | Steps:    1745 | Reward:  -1.103 | Avg(100):  -0.889 | Entropy: 0.0992 | Acc: 17.9% (5+ 23-) | Lifetime: 22.2%
Episode    64 | Steps:    1764 | Reward:   2.799 | Avg(100):  -0.832 | Entropy: 0.0992 | Acc: 42.1% (8+ 11-) | Lifetime: 22.4%
Episode    65 | Steps:    1804 | Reward:  -4.004 | Avg(100):  -0.881 | Entropy: 0.0990 | Acc: 10.3% (4+ 35-) | Lifetime: 22.1%
Episode    66 | Steps:    1827 | Reward:  -0.500 | Avg(100):  -0.875 | Entropy: 0.0990 | Acc: 34.8% (8+ 15-) | Lifetime: 22.3%
Episode    67 | Steps:    1863 | Reward:  -4.604 | Avg(100):  -0.930 | Entropy: 0.0990 | Acc: 8.3% (3+ 33-) | Lifetime: 22.0%
Episode    68 | Steps:    1882 | Reward:   2.099 | Avg(100):  -0.886 | Entropy: 0.0990 | Acc: 36.8% (7+ 12-) | Lifetime: 22.2%
Episode    69 | Steps:    1909 | Reward:  -1.201 | Avg(100):  -0.890 | Entropy: 0.0990 | Acc: 22.2% (6+ 21-) | Lifetime: 22.2%
Episode    70 | Steps:    1930 | Reward:   1.400 | Avg(100):  -0.858 | Entropy: 0.0990 | Acc: 38.1% (8+ 13-) | Lifetime: 22.3%
Episode    71 | Steps:    1949 | Reward:   2.599 | Avg(100):  -0.810 | Entropy: 0.0990 | Acc: 36.8% (7+ 12-) | Lifetime: 22.5%
Episode    72 | Steps:    1975 | Reward:  -1.502 | Avg(100):  -0.820 | Entropy: 0.0990 | Acc: 20.0% (5+ 20-) | Lifetime: 22.5%
  [Step 2000] Action dist: A0:15% | A1:10% | A2:36% | A3:25% | A4:14%
Episode    73 | Steps:    2008 | Reward:  -4.003 | Avg(100):  -0.863 | Entropy: 0.0990 | Acc: 9.1% (3+ 30-) | Lifetime: 22.2%
Episode    74 | Steps:    2032 | Reward:  -0.399 | Avg(100):  -0.856 | Entropy: 0.0990 | Acc: 29.2% (7+ 17-) | Lifetime: 22.3%
Episode    75 | Steps:    2059 | Reward:   0.197 | Avg(100):  -0.843 | Entropy: 0.0989 | Acc: 26.9% (7+ 19-) | Lifetime: 22.4%
Episode    76 | Steps:    2084 | Reward:   1.197 | Avg(100):  -0.816 | Entropy: 0.0989 | Acc: 24.0% (6+ 19-) | Lifetime: 22.4%
Episode    77 | Steps:    2117 | Reward:  -2.803 | Avg(100):  -0.841 | Entropy: 0.0989 | Acc: 12.1% (4+ 29-) | Lifetime: 22.2%
Episode    78 | Steps:    2144 | Reward:  -1.103 | Avg(100):  -0.845 | Entropy: 0.0989 | Acc: 14.8% (4+ 23-) | Lifetime: 22.1%
Episode    79 | Steps:    2166 | Reward:   0.098 | Avg(100):  -0.833 | Entropy: 0.0989 | Acc: 22.7% (5+ 17-) | Lifetime: 22.2%
Episode    80 | Steps:    2187 | Reward:   0.700 | Avg(100):  -0.814 | Entropy: 0.0989 | Acc: 33.3% (7+ 14-) | Lifetime: 22.3%
Episode    81 | Steps:    2213 | Reward:  -2.402 | Avg(100):  -0.833 | Entropy: 0.0989 | Acc: 15.4% (4+ 22-) | Lifetime: 22.2%
Episode    82 | Steps:    2243 | Reward:  -0.303 | Avg(100):  -0.827 | Entropy: 0.0989 | Acc: 20.0% (6+ 24-) | Lifetime: 22.1%
Episode    83 | Steps:    2276 | Reward:  -2.901 | Avg(100):  -0.852 | Entropy: 0.0989 | Acc: 18.2% (6+ 27-) | Lifetime: 22.1%
Episode    84 | Steps:    2299 | Reward:  -0.900 | Avg(100):  -0.852 | Entropy: 0.0989 | Acc: 26.1% (6+ 17-) | Lifetime: 22.1%
Episode    85 | Steps:    2325 | Reward:   1.398 | Avg(100):  -0.826 | Entropy: 0.0988 | Acc: 30.8% (8+ 18-) | Lifetime: 22.2%
Episode    86 | Steps:    2346 | Reward:   1.498 | Avg(100):  -0.799 | Entropy: 0.0988 | Acc: 28.6% (6+ 15-) | Lifetime: 22.3%
Episode    87 | Steps:    2387 | Reward:  -5.604 | Avg(100):  -0.854 | Entropy: 0.0988 | Acc: 7.3% (3+ 38-) | Lifetime: 22.0%
Episode    88 | Steps:    2421 | Reward:  -2.303 | Avg(100):  -0.870 | Entropy: 0.0988 | Acc: 14.7% (5+ 29-) | Lifetime: 21.9%
Episode    89 | Steps:    2446 | Reward:   0.897 | Avg(100):  -0.851 | Entropy: 0.0988 | Acc: 28.0% (7+ 18-) | Lifetime: 22.0%
Episode    90 | Steps:    2476 | Reward:  -2.502 | Avg(100):  -0.869 | Entropy: 0.0988 | Acc: 16.7% (5+ 25-) | Lifetime: 21.9%
  [Step 2500] Action dist: A0:10% | A1:12% | A2:43% | A3:23% | A4:12%
Episode    91 | Steps:    2505 | Reward:  -1.602 | Avg(100):  -0.877 | Entropy: 0.0988 | Acc: 20.7% (6+ 23-) | Lifetime: 21.9%
Episode    92 | Steps:    2529 | Reward:   1.098 | Avg(100):  -0.856 | Entropy: 0.0988 | Acc: 29.2% (7+ 17-) | Lifetime: 22.0%
Episode    93 | Steps:    2556 | Reward:  -1.300 | Avg(100):  -0.860 | Entropy: 0.0988 | Acc: 26.9% (7+ 19-) | Lifetime: 22.0%
Episode    94 | Steps:    2559 | Reward:   0.100 | Avg(100):  -0.850 | Entropy: 0.0988 | Acc: 33.3% (1+ 2-) | Lifetime: 22.0%
Episode    95 | Steps:    2577 | Reward:   1.799 | Avg(100):  -0.823 | Entropy: 0.0986 | Acc: 38.9% (7+ 11-) | Lifetime: 22.2%
Episode    96 | Steps:    2599 | Reward:   2.498 | Avg(100):  -0.788 | Entropy: 0.0986 | Acc: 31.8% (7+ 15-) | Lifetime: 22.2%
Episode    97 | Steps:    2622 | Reward:  -1.301 | Avg(100):  -0.794 | Entropy: 0.0986 | Acc: 17.4% (4+ 19-) | Lifetime: 22.2%
Episode    98 | Steps:    2641 | Reward:   3.299 | Avg(100):  -0.752 | Entropy: 0.0986 | Acc: 38.9% (7+ 11-) | Lifetime: 22.3%
Episode    99 | Steps:    2645 | Reward:  -0.100 | Avg(100):  -0.746 | Entropy: 0.0986 | Acc: 25.0% (1+ 3-) | Lifetime: 22.3%
Episode   100 | Steps:    2671 | Reward:   0.198 | Avg(100):  -0.749 | Entropy: 0.0986 | Acc: 26.9% (7+ 19-) | Lifetime: 22.4%
Episode   101 | Steps:    2687 | Reward:   1.998 | Avg(100):  -0.710 | Entropy: 0.0986 | Acc: 37.5% (6+ 10-) | Lifetime: 22.5%
Episode   102 | Steps:    2714 | Reward:  -0.203 | Avg(100):  -0.696 | Entropy: 0.0986 | Acc: 22.2% (6+ 21-) | Lifetime: 22.4%
Episode   103 | Steps:    2738 | Reward:   2.799 | Avg(100):  -0.622 | Entropy: 0.0986 | Acc: 33.3% (8+ 16-) | Lifetime: 22.5%
Episode   104 | Steps:    2761 | Reward:   0.299 | Avg(100):  -0.593 | Entropy: 0.0986 | Acc: 30.4% (7+ 16-) | Lifetime: 22.6%
Episode   105 | Steps:    2783 | Reward:   2.499 | Avg(100):  -0.529 | Entropy: 0.0986 | Acc: 31.8% (7+ 15-) | Lifetime: 22.7%
Episode   106 | Steps:    2805 | Reward:   1.000 | Avg(100):  -0.506 | Entropy: 0.0986 | Acc: 31.8% (7+ 15-) | Lifetime: 22.8%
Episode   107 | Steps:    2825 | Reward:   2.399 | Avg(100):  -0.461 | Entropy: 0.0985 | Acc: 35.0% (7+ 13-) | Lifetime: 22.8%
Episode   108 | Steps:    2854 | Reward:   0.097 | Avg(100):  -0.422 | Entropy: 0.0985 | Acc: 24.1% (7+ 22-) | Lifetime: 22.9%
Episode   109 | Steps:    2876 | Reward:   0.298 | Avg(100):  -0.402 | Entropy: 0.0985 | Acc: 27.3% (6+ 16-) | Lifetime: 22.9%
Episode   110 | Steps:    2895 | Reward:   2.300 | Avg(100):  -0.355 | Entropy: 0.0985 | Acc: 42.1% (8+ 11-) | Lifetime: 23.0%
Episode   111 | Steps:    2916 | Reward:   3.398 | Avg(100):  -0.271 | Entropy: 0.0985 | Acc: 38.1% (8+ 13-) | Lifetime: 23.1%
