
Training on cuda | logs -> training_logs/run_seed42_config7 (2)_fresh_20260528_040946
Config: ..\..\configs\config7 (2).yaml
Episodes: 0 -> ...
Steps: 0 -> 150000

Episode    50 | Steps:    1407 | Reward:   0.797 | Avg(100):  -1.810 | Entropy: 0.0496 | Acc: 18.8% (6+ 26-) | Lifetime: 18.8%
Episode    51 | Steps:    1425 | Reward:  -0.802 | Avg(100):  -1.790 | Entropy: 0.0496 | Acc: 22.2% (4+ 14-) | Lifetime: 18.8%
Episode    52 | Steps:    1453 | Reward:  -0.402 | Avg(100):  -1.764 | Entropy: 0.0496 | Acc: 21.4% (6+ 22-) | Lifetime: 18.9%
Episode    53 | Steps:    1474 | Reward:   2.698 | Avg(100):  -1.682 | Entropy: 0.0496 | Acc: 33.3% (7+ 14-) | Lifetime: 19.1%
Episode    54 | Steps:    1485 | Reward:  -0.801 | Avg(100):  -1.666 | Entropy: 0.0496 | Acc: 18.2% (2+ 9-) | Lifetime: 19.1%
  [Step 1500] Action dist: A0:17% | A1:16% | A2:29% | A3:12% | A4:26%
Episode    55 | Steps:    1504 | Reward:  -0.100 | Avg(100):  -1.638 | Entropy: 0.0496 | Acc: 31.6% (6+ 13-) | Lifetime: 19.3%
Episode    56 | Steps:    1536 | Reward:  -3.103 | Avg(100):  -1.663 | Entropy: 0.0495 | Acc: 12.5% (4+ 28-) | Lifetime: 19.1%
Episode    57 | Steps:    1565 | Reward:  -1.602 | Avg(100):  -1.662 | Entropy: 0.0495 | Acc: 17.9% (5+ 23-) | Lifetime: 19.1%
Episode    58 | Steps:    1590 | Reward:  -0.302 | Avg(100):  -1.639 | Entropy: 0.0495 | Acc: 24.0% (6+ 19-) | Lifetime: 19.2%
Episode    59 | Steps:    1617 | Reward:  -2.402 | Avg(100):  -1.652 | Entropy: 0.0495 | Acc: 18.5% (5+ 22-) | Lifetime: 19.2%
Episode    60 | Steps:    1647 | Reward:  -2.002 | Avg(100):  -1.658 | Entropy: 0.0495 | Acc: 13.8% (4+ 25-) | Lifetime: 19.1%
Episode    61 | Steps:    1672 | Reward:  -0.600 | Avg(100):  -1.641 | Entropy: 0.0495 | Acc: 28.0% (7+ 18-) | Lifetime: 19.2%
Episode    62 | Steps:    1702 | Reward:  -2.502 | Avg(100):  -1.654 | Entropy: 0.0495 | Acc: 16.7% (5+ 25-) | Lifetime: 19.1%
Episode    63 | Steps:    1733 | Reward:  -0.503 | Avg(100):  -1.636 | Entropy: 0.0495 | Acc: 19.4% (6+ 25-) | Lifetime: 19.2%
Episode    64 | Steps:    1764 | Reward:  -2.703 | Avg(100):  -1.653 | Entropy: 0.0495 | Acc: 16.1% (5+ 26-) | Lifetime: 19.1%
Episode    65 | Steps:    1791 | Reward:  -0.002 | Avg(100):  -1.628 | Entropy: 0.0495 | Acc: 25.9% (7+ 20-) | Lifetime: 19.2%
Episode    66 | Steps:    1827 | Reward:  -4.203 | Avg(100):  -1.666 | Entropy: 0.0495 | Acc: 11.4% (4+ 31-) | Lifetime: 19.1%
Episode    67 | Steps:    1844 | Reward:  -3.002 | Avg(100):  -1.686 | Entropy: 0.0495 | Acc: 0.0% (0+ 15-) | Lifetime: 18.9%
Episode    68 | Steps:    1867 | Reward:  -1.502 | Avg(100):  -1.683 | Entropy: 0.0495 | Acc: 13.0% (3+ 20-) | Lifetime: 18.8%
Episode    69 | Steps:    1893 | Reward:  -0.203 | Avg(100):  -1.662 | Entropy: 0.0495 | Acc: 19.2% (5+ 21-) | Lifetime: 18.8%
Episode    70 | Steps:    1921 | Reward:  -0.403 | Avg(100):  -1.644 | Entropy: 0.0495 | Acc: 21.4% (6+ 22-) | Lifetime: 18.9%
Episode    71 | Steps:    1946 | Reward:  -1.502 | Avg(100):  -1.642 | Entropy: 0.0495 | Acc: 20.0% (5+ 20-) | Lifetime: 18.9%
Episode    72 | Steps:    1969 | Reward:  -0.601 | Avg(100):  -1.628 | Entropy: 0.0495 | Acc: 21.7% (5+ 18-) | Lifetime: 18.9%
  [Step 2000] Action dist: A0:14% | A1:13% | A2:33% | A3:14% | A4:26%
Episode    73 | Steps:    2001 | Reward:  -3.002 | Avg(100):  -1.647 | Entropy: 0.0495 | Acc: 19.4% (6+ 25-) | Lifetime: 18.9%
Episode    74 | Steps:    2025 | Reward:   0.598 | Avg(100):  -1.617 | Entropy: 0.0495 | Acc: 26.1% (6+ 17-) | Lifetime: 19.0%
Episode    75 | Steps:    2054 | Reward:  -0.701 | Avg(100):  -1.605 | Entropy: 0.0494 | Acc: 25.0% (7+ 21-) | Lifetime: 19.1%
